Model,Cutoff,Observed Sp,Estimated Total Sp,SE,Lower CB,Upper CB,Chi Sq,GOF0,GOF5,AIC,AICc,T1,T2,T3,T4,T5,T6,T7,CV Rare
Poisson,58,954,1001.9855,1.419698415,1000.563464,1006.996381,1.64E+32,,0,6044.602229,6044.606431,6.176871774,,,,,,,
Poisson,61,956,1001.77159,1.340079953,1000.47401,1006.621234,2.14E+35,,0,6367.873063,6367.877256,6.292731941,,,,,,,
Poisson,62,958,1001.578361,1.264055513,1000.397187,1006.272172,8.30E+35,,0,6696.19503,6696.199214,6.410106948,,,,,,,
Poisson,67,960,1001.392345,1.186470435,1000.327214,1005.924638,2.44E+40,,0,7066.396045,7066.40022,6.537392953,,,,,,,
Poisson,68,961,1001.306678,1.149045775,1000.296428,1005.759938,4.83E+40,,0,7253.695702,7253.699873,6.601845403,,,,,,,
Poisson,74,962,1001.218793,1.109387899,1000.26586,1005.587355,2.73E+46,,0,7468.258895,7468.263062,6.672419347,,,,,,,
Poisson,75,964,1001.058719,1.033380135,1000.213028,1005.261678,2.96E+47,,0,7904.112162,7904.11632,6.815129284,,,,,,,
Poisson,78,965,1000.983929,0.995941861,1000.189699,1005.103434,4.84E+49,,0,8133.680243,8133.684397,6.889348363,,,,,,,
Poisson,83,968,1000.77844,0.885187019,1000.130551,1004.641613,7.42E+54,,0,8889.807155,8889.811295,7.126499883,,,,,,,
Poisson,84,969,1000.719499,0.850827041,1000.11505,1004.499613,7.32E+54,,0,9142.175515,9142.179652,7.206207019,,,,,,,
Poisson,85,970,1000.66446,0.817466335,1000.101217,1004.361975,2.36E+55,,0,9397.758409,9397.762541,7.286760748,,,,,,,
Poisson,87,972,1000.56468,0.753302556,1000.077828,1004.097024,1.95E+57,,0,9924.796383,9924.800507,7.451432305,,,,,,,
Poisson,99,973,1000.514302,0.718772995,1000.0669,1003.953773,2.32E+69,,0,10245.38605,10245.39016,7.545856854,,,,,,,
Poisson,101,974,1000.467559,0.685204682,1000.057323,1003.813641,1.27E+71,,0,10573.99395,10573.99806,7.642121778,,,,,,,
Poisson,111,975,1000.420807,0.649923987,1000.048316,1003.665037,8.30E+81,,0,10952.66959,10952.6737,7.748450021,,,,,,,
Poisson,114,976,1000.377658,0.615594597,1000.040534,1003.518698,5.83E+84,,0,11344.50913,11344.51324,7.857614732,,,,,,,
Poisson,119,977,1000.337285,0.581663566,1000.033738,1003.371895,8.59E+89,,0,11760.26604,11760.27014,7.971658921,,,,,,,
Poisson,121,978,1000.30069,0.549119358,1000.028004,1003.228593,3.86E+91,,0,12183.65347,12183.65757,8.087493013,,,,,,,
Poisson,126,979,1000.266768,0.517144511,1000.023069,1003.084926,5.67E+96,,0,12630.96203,12630.96612,8.208181551,,,,,,,
Poisson,128,980,1000.236253,0.48660632,1000.018955,1002.944576,2.33E+98,,0,13085.72159,13085.72568,8.330644712,,,,,,,
Poisson,132,981,1000.208434,0.457004844,1000.015488,1002.805137,2.18E+102,,0,13558.85734,13558.86143,8.456918399,,,,,,,
Poisson,138,982,1000.18282,0.427956412,1000.012543,1002.664588,4.94E+108,,0,14061.41081,14061.41489,8.58903178,,,,,,,
Poisson,139,983,1000.160237,0.400613587,1000.010155,1002.528494,1.15E+109,,0,14565.52275,14565.52683,8.721873736,,,,,,,
Poisson,145,984,1000.139629,0.373931884,1000.008152,1002.391729,2.39E+115,,0,15099.00443,15099.0085,8.86053103,,,,,,,
Poisson,146,985,1000.121585,0.348906303,1000.006543,1002.25953,4.92E+115,,0,15633.80056,15633.80463,8.999903767,,,,,,,
Poisson,157,986,1000.104729,0.323792976,1000.005167,1002.122695,1.27E+128,,0,16226.18697,16226.19103,9.150142998,,,,,,,
Poisson,163,987,1000.089691,0.299625001,1000.004049,1001.986737,2.75E+134,,0,16847.89578,16847.89984,9.306144974,,,,,,,
Poisson,166,988,1000.076605,0.276888466,1000.003164,1001.854725,1.08E+137,,0,17481.60601,17481.61007,9.464852903,,,,,,,
Poisson,168,989,1000.065318,0.255663547,1000.002469,1001.727676,2.37E+138,,0,18121.49667,18121.50072,9.625248247,,,,,,,
Poisson,169,990,1000.055656,0.235987825,1000.001928,1001.606448,3.12E+138,,0,18761.81016,18761.81421,9.786317834,,,,,,,
Poisson,174,991,1000.047201,0.217315037,1000.001497,1001.488212,3.14E+143,,0,19425.38526,19425.3893,9.952098312,,,,,,,
Poisson,181,992,1000.039763,0.199449891,1000.001152,1001.372109,9.72E+150,,0,20123.63778,20123.64182,10.12459367,,,,,,,
Poisson,190,993,1000.033206,0.18225873,1000.000877,1001.257597,9.53E+160,,0,20868.15239,20868.15643,10.30579824,,,,,,,
Poisson,192,994,1000.027685,0.166413741,1000.000667,1001.149632,1.35E+162,,0,21617.97085,21617.97488,10.48864143,,,,,,,
Poisson,195,995,1000.023021,0.151746457,1000.000506,1001.047661,3.36E+164,,0,22378.86602,22378.87005,10.67412439,,,,,,,
Poisson,209,996,1000.018882,0.137428997,1000.000377,1000.94631,6.71E+180,,0,23215.25595,23215.25997,10.87328709,,,,,,,
Poisson,211,997,1000.015463,0.124363266,1000.000281,1000.852359,6.49E+181,,0,24056.17259,24056.17661,11.07405042,,,,,,,
Poisson,217,999,1000.010259,0.101293054,1000.000154,1000.683539,7.39E+186,,0,25788.07354,25788.07756,11.48636815,,,,,,,
Poisson,265,1000,1000.007969,0.089276165,1000.000107,1000.594484,2.09E+247,,0,26932.53539,26932.53939,11.73990625,,,,,,,
SingleExp,4,623,1655.623311,52.55109436,1560.447312,1766.96224,89.85746017,,0,137.7051381,137.7115793,0.95024077,,,,,,,
SingleExp,5,665,1581.875,45.22890997,1499.76351,1677.477465,64.79362434,,0,115.4866907,115.4927239,1.142857143,,,,,,,
SingleExp,6,716,1505.079803,38.32754717,1435.370319,1585.950848,84.93619224,,0,132.0759053,132.0815075,1.417597765,,,,,,,
SingleExp,7,742,1470.16567,35.42285266,1405.704578,1544.868778,66.23014641,,0,118.9834355,118.988841,1.578167116,,,,,,,
SingleExp,8,770,1433.723482,32.55685726,1374.46154,1502.364165,66.78836589,,0,122.0970568,122.1022651,1.775324675,,,,,,,
SingleExp,9,783,1416.783821,31.28215508,1359.841742,1482.736528,53.7214542,,5.48E-08,111.9861394,111.9912611,1.878671775,,,,,,,
SingleExp,10,806,1387.148987,29.12719736,1334.138912,1448.568942,71.8933584,,0,127.5036706,127.5086457,2.081885856,,,,,,,
SingleExp,11,818,1372.149055,28.06767972,1321.07662,1431.345387,65.49986333,,0,126.1643192,126.1692212,2.19804401,,,,,,,
SingleExp,12,831,1355.775889,26.93741683,1306.774357,1412.604509,68.20483447,,2.60E-07,131.9713367,131.9761617,2.335740072,,,,,,,
SingleExp,13,840,1344.363104,26.16458738,1296.779899,1399.575402,66.1749522,,1.36E-07,133.9915933,133.9963666,2.439285714,,,,,,,
SingleExp,14,856,1324.650421,24.85166821,1279.480358,1377.120942,100.3582085,,0,158.1919862,158.19667,2.636682243,,,,,,,
SingleExp,15,862,1317.404528,24.37597995,1273.109977,1368.883025,95.32985277,,0,159.2347487,159.2393999,2.715777262,,,,,,,
SingleExp,16,869,1308.733034,23.81324774,1265.475358,1359.039298,96.34240035,,0,164.9781027,164.9827163,2.814729574,,,,,,,
SingleExp,17,878,1297.63861,23.10063715,1255.695381,1346.462036,110.9402412,,0,178.8656438,178.87021,2.949886105,,,,,,,
SingleExp,18,879,1296.371692,23.01996776,1254.577396,1345.02741,108.4139413,,0,177.9615199,177.9660809,2.965870307,,,,,,,
SingleExp,19,882,1292.342728,22.76525009,1251.019035,1340.469283,106.3098112,,0,180.3108319,180.3153774,3.017006803,,,,,,,
SingleExp,20,890,1281.585496,22.08966453,1241.510967,1328.309694,139.4297889,,0,200.7239211,200.7284256,3.160674157,,,,,,,
SingleExp,21,894,1276.265468,21.75755918,1236.805486,1322.300848,141.6553447,,0,207.7353232,207.7398075,3.236017897,,,,,,,
SingleExp,22,898,1270.878065,21.42297552,1232.037622,1316.219954,146.8453754,,0,216.0871411,216.0916054,3.315144766,,,,,,,
SingleExp,23,906,1260.334919,20.77118591,1222.70224,1304.326846,201.6729932,,0,242.930372,242.9347968,3.48013245,,,,,,,
SingleExp,24,907,1259.020466,20.69025896,1221.537838,1302.844889,198.2242082,,0,243.9013306,243.9057505,3.501653804,,,,,,,
SingleExp,25,911,1253.643337,20.36039968,1216.772625,1296.785365,208.5694386,,0,255.5609119,255.5653124,3.591657519,,,,,,,
SingleExp,26,913,1250.923841,20.19411151,1214.361761,1293.722041,207.1187448,,0,260.2213263,260.2257171,3.638554217,,,,,,,
SingleExp,27,915,1248.14019,20.0244005,1211.89323,1290.58764,207.4569063,,0,265.5961278,265.6005089,3.687431694,,,,,,,
SingleExp,28,917,1245.300175,19.85170883,1209.374001,1287.390868,209.7377471,,0,271.6587737,271.6631453,3.73827699,,,,,,,
SingleExp,29,918,1243.84375,19.76336353,1208.081742,1285.752002,208.2681998,,0,274.3644084,274.3687752,3.764705882,,,,,,,
SingleExp,30,921,1239.413209,19.49517274,1204.14975,1280.767842,231.7897654,,0,287.0151309,287.0194834,3.846905537,,,,,,,
SingleExp,31,925,1233.585859,19.14298963,1198.977383,1274.213845,283.0362986,,0,306.2061495,306.2104832,3.96,,,,,,,
SingleExp,32,928,1229.282215,18.88323888,1195.157036,1269.374526,306.7740676,,0,319.93015,319.9344697,4.047413793,,,,,,,
SingleExp,33,929,1227.835533,18.79605187,1193.872632,1267.748108,304.2825601,,0,323.5897619,323.5940769,4.077502691,,,,,,,
SingleExp,37,930,1226.176778,18.69671468,1192.398916,1265.884737,309.0066287,,0,328.9084801,328.9127905,4.111827957,,,,,,,
SingleExp,39,931,1224.433195,18.5925392,1190.849457,1263.926657,319.5507872,,0,334.9850926,334.9893983,4.148227712,,,,,,,
SingleExp,41,934,1219.074837,18.27287431,1186.087032,1257.910417,521.9968619,,0,358.6327719,358.6370638,4.263383298,,,,,,,
SingleExp,42,935,1217.306736,18.1674128,1184.515596,1255.925345,529.0368001,,0,365.48756,365.4918473,4.302673797,,,,,,,
SingleExp,43,937,1213.773801,17.95674496,1181.375613,1251.95911,612.9060119,,0,381.0228953,381.0271734,4.383137673,,,,,,,
SingleExp,44,938,1212.010602,17.85162667,1179.808537,1249.979764,621.3352662,,0,388.3085048,388.3127783,4.424307036,,,,,,,
SingleExp,46,939,1210.18379,17.74285522,1178.184725,1247.929365,643.0548678,,0,396.2679079,396.2721768,4.467518637,,,,,,,
SingleExp,47,941,1206.550268,17.52649112,1174.9551,1243.851213,800.0719394,,0,413.9336958,413.9379556,4.555791711,,,,,,,
SingleExp,48,943,1202.978544,17.31369887,1171.780718,1239.84234,946.9519137,,0,431.7938954,431.7981462,4.645811241,,,,,,,
SingleExp,49,945,1199.469511,17.10451169,1168.662406,1235.903701,1084.887931,,0,449.8314889,449.8357307,4.737566138,,,,,,,
SingleExp,50,946,1197.727795,17.00064508,1167.114738,1233.948731,1089.868378,,0,458.3134731,458.3177104,4.78435518,,,,,,,
SingleExp,51,948,1194.272374,16.79449151,1164.04455,1230.070156,1247.511822,,0,476.9582385,476.9624668,4.879746835,,,,,,,
SingleExp,53,949,1192.518384,16.68986414,1162.486135,1228.101481,1265.32028,,0,486.0971247,486.1013485,4.929399368,,,,,,,
SingleExp,54,950,1190.763052,16.58513353,1160.926607,1226.131296,1291.286013,,0,495.4401556,495.444375,4.98,,,,,,,
SingleExp,55,952,1187.291589,16.3778572,1157.842752,1222.234718,1556.996542,,0,515.7391525,515.7433631,5.082983193,,,,,,,
SingleExp,56,953,1185.576011,16.27533914,1156.318926,1220.308934,1572.046838,,0,525.3025409,525.306747,5.135362015,,,,,,,
SingleExp,58,954,1183.824682,16.1707025,1154.763359,1218.343113,1618.677511,,0,535.4031727,535.4073744,5.189727463,,,,,,,
SingleExp,61,956,1180.227963,15.95580309,1151.568834,1214.306054,2243.374918,,0,558.5363808,558.5405737,5.304393305,,,,,,,
SingleExp,62,958,1176.730984,15.74648966,1148.4637,1210.380319,2746.440463,,0,581.5897507,581.5939348,5.420668058,,,,,,,
SingleExp,67,960,1173.070423,15.52734122,1145.213602,1206.271112,3862.195445,,0,607.2113494,607.2155248,5.546875,,,,,,,
SingleExp,68,961,1171.27615,15.41975302,1143.620885,1204.25664,3935.090782,,0,619.3368442,619.3410152,5.61082206,,,,,,,
SingleExp,74,962,1169.340165,15.30375916,1141.90229,1202.083358,4527.972631,,0,633.1955051,633.1996718,5.680873181,,,,,,,
SingleExp,75,964,1165.561375,15.07690896,1138.548747,1197.840612,7217.791553,,0,662.1884797,662.1926377,5.822614108,,,,,,,
SingleExp,78,965,1163.65993,14.96259682,1136.861653,1195.705459,7690.993937,,0,676.5615581,676.5657118,5.896373057,,,,,,,
SingleExp,83,968,1157.854447,14.61286263,1131.712258,1189.185327,21343.90948,,0,726.2693084,726.2734492,6.132231405,,,,,,,
SingleExp,84,969,1155.999502,14.50073976,1130.06771,1187.101352,20537.83989,,0,741.3845813,741.3887178,6.211558308,,,,,,,
SingleExp,85,970,1154.17008,14.38998487,1128.446153,1185.045741,19874.74222,,0,756.5211117,756.5252439,6.291752577,,,,,,,
SingleExp,87,972,1150.563187,14.17111202,1125.250144,1180.991995,22771.21229,,0,788.5196463,788.5237701,6.455761317,,,,,,,
SingleExp,99,973,1148.553115,14.04908003,1123.469284,1178.732939,28376.21634,,0,806.8262815,806.830401,6.549845838,,,,,,,
SingleExp,101,974,1146.558937,13.92778007,1121.702987,1176.491331,33975.34666,,0,825.3439618,825.348077,6.645790554,,,,,,,
SingleExp,111,975,1144.406046,13.79671587,1119.796411,1174.071209,60155.61878,,0,846.2716488,846.2757598,6.751794872,,,,,,,
SingleExp,114,976,1142.260454,13.66580579,1117.896897,1171.658774,87993.19584,,0,867.5960044,867.6001111,6.860655738,,,,,,,
SingleExp,119,977,1140.083505,13.53270374,1115.970208,1169.210597,131688.5946,,0,889.8305509,889.8346534,6.974411464,,,,,,,
SingleExp,121,978,1137.94116,13.40137554,1114.074836,1166.800709,168599.2081,,0,912.1371278,912.1412262,7.08997955,,,,,,,
SingleExp,126,979,1135.775747,13.2683195,1112.159707,1164.364317,229285.9385,,0,935.286267,935.2903612,7.210418795,,,,,,,
SingleExp,128,980,1133.648761,13.13725506,1110.279304,1161.970476,278466.2832,,0,958.4659605,958.4700504,7.332653061,,,,,,,
SingleExp,132,981,1131.523985,13.00597322,1108.401575,1159.578481,344852.8178,,0,982.1720048,982.1760906,7.458715596,,,,,,,
SingleExp,138,982,1129.370003,12.87253188,1106.498766,1157.152973,472796.7582,,0,1006.868397,1006.872479,7.590631365,,,,,,,
SingleExp,139,983,1127.277266,12.74246201,1104.650898,1154.795635,545866.0121,,0,1031.283144,1031.287222,7.723296033,,,,,,,
SingleExp,145,984,1125.162358,12.61063314,1102.784232,1152.412636,701083.3763,,0,1056.620579,1056.624652,7.861788618,,,,,,,
SingleExp,146,985,1123.109377,12.48222383,1100.973096,1150.098584,782017.4101,,0,1081.650752,1081.654821,8.001015228,,,,,,,
SingleExp,157,986,1120.965037,12.34772418,1099.082146,1147.680896,1239605.216,,0,1108.697155,1108.70122,8.151115619,,,,,,,
SingleExp,163,987,1118.815587,12.21243497,1097.187634,1145.256584,1867033.121,,0,1136.511491,1136.515552,8.306990881,,,,,,,
SingleExp,166,988,1116.707795,12.07926215,1095.330842,1142.878309,2349044.941,,0,1164.374614,1164.378671,8.465587045,,,,,,,
SingleExp,168,989,1114.654906,11.94904859,1093.52342,1140.56102,2625165.378,,0,1192.055406,1192.059458,8.625884732,,,,,,,
SingleExp,169,990,1112.668123,11.82252264,1091.775195,1138.317395,2683558.09,,0,1219.338762,1219.342811,8.786868687,,,,,,,
SingleExp,174,991,1110.694432,11.69635087,1090.039445,1136.087659,2909594.008,,0,1247.083689,1247.087733,8.952573158,,,,,,,
SingleExp,181,992,1108.712329,11.56915283,1088.297272,1133.847515,3531269.965,,0,1275.673327,1275.677367,9.125,,,,,,,
SingleExp,190,993,1106.703712,11.43974136,1086.53282,1131.57646,5058994.863,,0,1305.4617,1305.465737,9.306143001,,,,,,,
